,id,title,description
272,666725,Intntl Political Economy,Provides a brief introduction to current issues in the international economy and examines the role of the United States. The  course also examines the process of s historical role therein. It also looks at the process of economic integration in parts of the world.
273,666727,Economics of Social Problems,"Examines a range of social issues such as transport, housing and the environment and considers the role economics can play in understanding and resolving problems in these areas."
274,666740,Independent Study,Provides an opportunity to study an area of Economics not available through established course offerings. Requires prior faculty approval and supervision.
275,007296,Advertising for Small Business,
276,007299,"Fuel,Emission&Control II",
277,004360,Race and Racism,
278,004366,Iss Bilingual Ed,
279,007273,Psychology Special Topics,An intensive study of a psychological topic which commands the current focus of interest of both faculty members and students.   Designed for graduated students
280,004376,Dev Acquis,
281,004382,Changing Role Agt,
282,007274,Intro to Political Theory,
283,007275,Intro to Political Economy,
284,007276,Intro to American Politics,
285,000426,Electromagnetic Theory I,
286,667102,Language reinforcement L1S1EC,
287,003756,Physio I,
288,003772,Med Prob I,
289,003270,Indep Study,
290,000180,Macroeconomics 2,This course explains the fundamental concepts of macroeconomics 2.
291,000185,Macroeconomic Policy,This course explains the principles of macroeconomic policy.
292,000175,Modeling HF Time Series Data,This course explains modeling high frequency time series data.
293,000233,International Insurance,This course teaches the principles of international insurance.
294,666754,U.S. and the Intntl Economy,Examines the U.S. economy in its changing international economic context and critically examines contemporary and longer-run influences on U.S economic performance.
295,000064,Linear Algebra,This course explores linear algebra.
296,000065,Higher Linear Algebra,This course examines higher linear algebra.
297,666735,Corporate Finance,"This course starts with the premise that company managers seek to maximize the wealth of the shareholders. We utilize both a theoretical base and consider the practice of the financial decision making process. The main decisions addressed are finance, investment and reorganization."
298,667124,Economic English M1S2,
299,667127,Internship (3 months) M1S2,
300,667030,Medieval studies OL3,
301,667041,Eng Lit: The Sister Arts OL3,
302,666903,Biotechnology and Society,
303,666757,Economic Methods I,Introduces the basic statistical methods used in economics. Its emphasis is on developing understanding of these techniques rather than the performance of laborious calculations. In addition the module provides an introduction to the main sources of economic data. The emphasis is on understanding and interpreting the data. Part 1 of a two semester course
304,666842,Strategic Purchasing,
305,667092,Literary text analysis L1S1EC,
306,007328,Intro to Paranormal Studies,
307,555555,The Art of JRR Tolkien,
308,666703,Java Programming,
309,666705,Theory&Practice in Social Rsch,
310,000039,Introduction to Accounting B,This course provides an introduction to management accounting concepts
311,667100,Italian L1S1EC,Italian L1S1EC
312,667434,French Language & Literature,
313,666711,Structure and Analyses,
314,000366,Accting & Fin Mgt 2B,This course covers the topics examined in the lecture component of this course in more detail.
315,007310,California B.A.R. Clean Air,
316,007311,Western Movement in America,
317,003776,Pathology I,
318,003790,Pharm II,
319,000450,Differential Equations,
320,000418,Engr Physics I Lab,
321,000419,Engr Physics II,
322,000423,Electronic Circuits,
323,667024,German L3S5EC,German L3S5EC
324,667021,TICE info and comm - IT L3S6,
325,000436,Physics Research,
326,666716,Independent Study in Dance,
327,667425,Intro Internat. European Law,
328,667432,History,
329,666805,Introduction to Marketing,
330,000156,Accounting & Fin Mgt:2A,This course explains the accounting and financial management concepts:2A
331,666937,Experim. Research Methods,
332,666938,Research Skills in Psycholog,
333,666939,The Philosophy of Science,
334,666949,Cross-cultural Psychology,
335,666952,Bachelor Thesis Pysch Society,
336,666953,Philosophy for Psychologists,
337,007305,Intro to Welding,
338,007306,Advanced Diagnosis-Auto,
339,666737,Transport Economics Project,This courses allows students of ECON 2015 and others to develop a project on transport policy. It provides a framework of supervision to support individual learning activity.
340,666738,Valuing the Environment,"A course for economics students who are environmentally aware or interested, providing and introduction to topics in environmental economics."
341,666888,Money and Banking,
342,666890,Labor Economics,
343,666817,Consumer Behaviour,
344,666818,Employee Resourcing,
345,667091,Translation from Eng. L1S2EC,Translation from Eng. L1S2EC
346,666837,Services Management,
347,666729,Microeconomic Analysis II,"Examines how companies can organize their production efficiently and how their costs of production change as input prices and the level of output change. We will also see that there are strong similarities between the optimizing decisions of companies and those of consumers. The presentation of the theory is reinforced with real-world case-studies and applications. Also explores factor markets and examines how the price and employment of inputs is actually determined. An introduction to general equilibrium analysis, in which the interactions among related markets are taken into account."
348,667135,Eco. & social issues M1S1EC2,
349,667388,Introto Tax Law,
350,667192,Mathematics Economics II (ESP),
351,666957,Philosophy Advanced,
352,667074,Anglo-saxon pragmatism OL6,
353,667183,Internship/company (6) M2S4EC1,
354,667384,Intro to Law and Management,
355,667204,Microeconomic Theory (ESP),
356,667205,Industrial Organization (ESP),
357,667208,Dynamic Macroeconomics (ESP),
358,667211,International Trade (ESP),
359,667215,Topics in Public Economic (ESP,
360,667218,Quantitative Microecono (ESP),
361,667220,Economic Growth (ESP),
362,667222,Health Economics (ESP),
363,667198,Economic Admin Law (ESP),
364,666784,International Marketing,"This course provides insights and an appreciation of marketing tools, techniques and strategy in an international context,  and seeks to equip students with vital underlying knowledge of key international marketing issues."
365,667453,Medico-Legal Problems,Medico-Legal Problems
366,667459,Rights II:,Rights II: Rights & Dilemmas in Health Care
367,667460,Ethics and Genetics,Ethics and Genetics
368,666967,Education,
369,667328,Acc 1: Financial Accounting,
370,667329,Macro-economics,
371,667360,Life Insurance,
372,667377,Elementary Private Law A,
373,667358,Asset Liability Management,
374,667359,Inventory & Production Man.,
375,667139,Spanish eco trans. M1S1EC3,
376,667465,Engineering Mathematics A,"16 HEQF credits, 4 lectures per week, 1 double-period tutorial per week, offered in each semester.     Course outline: An introduction to differential and integral calculus. Functions, limits and continuity. Rational functions, the natural exponential and logarithm functions. Radian measure and the Trigonometric functions. The rules of differentiation. Curve sketching. Applications of the mean value theorem. Rates of change and optimization involving functions of a single variable. L'Hospital's rules, indeterminate forms and the squeeze theorem. Antidifferentiation. Permutations and combinations, finite series and the binomial theorem. The definite integral and the fundamental theorem of calculus. The substitution rule.   DP requirements: 30% For class record, high tutorial attendance.   Assessment: Examination, not longer than 3 hours in June or November: 70%, two class tests: 30%."
377,666962,Psychological Assessment,
378,667446,Digital electronic circuits,Digital electronic circuits
379,667083,British civilization L2S1EC,
380,667087,Literature L2S2EC,
381,666854,Adult Health Nursing,
382,666991,Translation L1S2,
383,666774,Financial and Risk Analysis I,"This course evaluates financial structure, distribution and risk management decisions within a corporate environment. Part 1 of a 2 part course."
384,667335,Itro Chance calculus,
385,667338,Intro Finance,
386,667339,Chance calculus & statistics,
387,667006,Spanish L2S3,
388,667263,Business Administration II,
389,666863,Community Health Nursing,
390,666870,Medical Spanish III,
391,666877,Group Discussion,
392,666882,Econ and Social Challenges,
393,666883,Ecomomic Themes in Film,
394,667162,Inter. marketing M1S2EC4,
395,667171,Marketing & D strategy M2S3EC1,
396,667177,Business communication M2S3EC3,
397,667180,German countries dev M2S3EC4,
398,667522,Clinical Lab II: Hlth&Illness,
399,667407,Constit.l & Admin. Law: IA,
400,667148,Inter. marketing M1S1EC4,
401,667150,Corporate law M1S1EC4,
402,667152,Computer M1S2EC1,
403,667156,Spanish M1S1,
404,667233,Information Skills (ESP),
405,667464,Chemistry for Engineers,"16 HEQF credits, 4 lectures per week, 1 practical and/or tutorial per week.     Course outline: Basic chemical concepts, stoichiometry, some systematic inorganic chemistry, particularly metal oxides. Atomic structure and chemical bonding, with the emphasis on the structure of solids. Chemical equilibrium and aqueous solution chemistry, acids and bases. Thermochemistry. Basic electrochemistry and corrosion of metals, polymers.   DP requirements: Attendance at practicals, tests and tutorial exercises, and at least 35% for the class record."
406,667237,Discrete Mathematics,
407,667238,Business Administration,
408,667240,Statistics,
409,667241,Computer Structure,
410,667242,Analysis of Algorithms,
411,667250,Software Process Management,
412,667057,Medieval studies OL6,
413,667060,Ireland OL5,
414,667066,New litteratures OL5,
415,666984,Propedeuse Algebra I,
416,667011,Italian L2S4EC,Italian L2S4EC
417,666986,British & US civilization L1S1,
418,667411,Intern. Law & language skills,
419,667187,Accounting I,
420,667701,VP1 workshop C,
421,667327,Math 1,
422,667364,Macroeconomics 2 for EBE,
423,667142,German eco. issues M1S1EC3,
424,667343,Advanced Linear Algebra,
425,667355,Object Oriented Programming,
426,667273,Dev.Economics for EBE,
427,667274,History of Economic Thought,
428,667391,Property Law,
429,667393,Accounting:  Law & Business M.,
430,666786,Human Resource Development,Provides students with knowledge of current HR development trends and developments from an individual and organizational context.
431,666788,"Inequality, Ideology, and Soci","Inequality, Ideology, and Social Justice"
432,667013,Grammar L3S6EC,Grammar L3S6EC
433,667402,Accounting: Law & Management,
434,667403,Bac. Assign.  Law & Management,
435,667404,Entrepreneurial Govern. & Fin.,
436,667490,Colonialism and Independence,"MODULE DESCRIPTION    The module aims to enhance your knowledge and understanding of post-colonial literatures in relation to the cultural, political and intellectual contexts from which they emerge. It will concentrate on texts concerned with African, Caribbean and Indian geographical regions showing linkages between their colonial experiences. You will read three sets of texts: first, narratives of colonial writers on the colonial encounter in Africa, India and the Caribbean; second, responses by natives of these communities to European representations of the encounter and its effects on people and the lands; third, contemporary texts on post independence. Theories to be considered will include Eurocentric theories of representation and others that take these theories as a point of  departure for rethinking European representation of the native. Various concepts including the colonial encounter, creolisation, contact zone, hybridity and hybridisation will be discussed, informed by the work of contemporary postcolonial theorists such as Edward Said, Homi Bhaba, and Ngugi wa Thiongo.    LEARNING OUTCOMES    On successful completion of this module you should be able to:  1. Recognise and critically reflect on the problematics of the colonial encounter.  2. Evaluate the significance of theories of representation in reading postcolonial texts.  3. Critically evaluate and engage with post-colonial texts demonstrating an ability to undertake sustained inter-disciplinary analysis."
437,667287,Biology - Invasion of the Land,"What will I cover in this module?    You'll focus on groups of organisms that have adapted to life on land, including terrestrial fungi, lower and higher plants, insects and spiders and amphibians, reptiles and mammals.    How many credits is it worth?  15"
438,667367,Sociale Philos & Sience,
439,667368,English for the Future,
440,667253,Multimedia Signal Processing,
441,667373,Dev.Economics for EBE,
442,667376,Skills Lab year 3,
443,667703,Anatomy/fysiology 1,
444,667271,Technology Programming Paradig,
445,667272,European Criminal Law,
446,667696,Verpleeg- en zorgvaardigheden,
447,667697,Werkplekleren 4: Leerwerktraj.,
448,667506,Vocational Module,
449,667351,Social Phil. & Phil of Science,
450,667477,Seventeenth-Century Literature,"MODULE DESCRIPTION    This module aims to introduce you to sample texts from the three most significant genres (drama, poetry and prose) from the first (`literary¿) half of the seventeenth century. You will examine the texts¿ most important formal features as well as issues and also learn how theory can be used to help open them up to further scrutiny. You may study works by writers such as Ben Jonson, Thomas Middleton, John Donne, Francis Bacon, John Milton and Michel de Montaigne.    LEARNING OUTCOMES    On successful completion of this module, you will be able to:  1. Demonstrate an understanding of the significant issues in seventeenth-century literature.  2. Analyse and evaluate the principal stylistic features of seventeenth-century  literature.  3. Critically evaluate the role of various critical readings and theories in the reading of seventeenth-century literature."
451,667478,Modernism,"MODULE DESCRIPTION    This module aims to familiarise you with the cultural and intellectual movement of `Modernism¿. Roughly covering the period from the late nineteenth century to the Second World War, Modernism was a decisive change in approaches to literature: modernist writers such as Virginia Woolf, James Joyce or D.H. Lawrence moved away from the realist mode of the Victorians and started experimenting, both with form and content of their writing. In the course of this module, you will learn about the main theories behind literary Modernism ¿ we will also be looking at the parallel developments in the arts and in architecture ¿ and will study some examples of first- and second-generation modernist  writers.    LEARNING OUTCOMES    On successful completion of this module you will be able to  1. Demonstrate understanding of the two main trends of modernist writing (Modernism of Style / Modernism of Content).  2. Assess the use of recurrent themes in the examples of modernist writing  encountered on the module.  3. Situate the texts in their intellectual context and within an acknowledged theoretical framework."
452,667635,Elections and Voters,
453,667285,Pers Dev/Grad Enterprise,
454,667286,Mgmt Accounting for Business,
455,667528,Clinical Lab VI: Women's Hlth,
456,667260,Final Year Project,
457,667685,Metawerk 5 / Bekwaamheidsproef,
458,667686,Vakdiaktiek 3 DT,
459,667758,MVT Engels Pronounciation,
460,667538,Practical Training,"0 HEQF credits.   Convener: Associate Professor BI Collier-Reed.   Lecture times: Not applicable.     Course outline: Electro-Mechanical and Mechanical Engineering students shall produce to the satisfaction of the head of department, a certificate showing evidence of completion of suitable work in the basic workshop processes during the period of at least six weeks in an approved industrial workshop, either before registration or during the long vacation following the year of first registration in the Faculty. Such evidence must be produced by 31 March of the year following such training. Alternatively students may produce a certificate showing evidence of completion of an approved structured intensive practical training course (e.g. at a Technikon/University of Technology)."
461,667539,Design I,"32 HEQF credits, 2 lectures and 2 studio sessions per week. Second year, whole year course.   Convener:   Prerequisites: MEC1002W, MEC1004W, MEC1000X.   Co-requisites: All second year core courses.     Course outline: Machine drawing and foundations of graduate level engineering design. Specific knowledge areas are computer assisted machine drawing; the selection of machine elements; machine assembly design; production, fits, surface texture and geometric tolerancing; stresses in components, design for static strength and simple failure theories; the Design Process.   Lecture times: TBA.   DP requirements: All design assignments submitted and a sub-minimum of 50% for the class mark.   Assessment: The class mark equals 70% of the project mark plus 30% of the test mark. The final mark equals the average of the class mark and the exam mark if the exam mark is equal to or greater than 50%, else the final mark equals the exam mark. A sub-minimum of 50% for the final mark is required."
462,667541,Dynamics I,"16 HEQF credits, 48 lectures, 12 tutorials. Second year, first and second semester course.   Convener: TBA.   Prerequisites: MAM1018F/S, MAM1042S, PHY1012F/S, PHY1013F/S.   Course outline: Particle kinematics; Coordinate systems; Particle kinetics, Newton's laws, Work and energy, Impulse momentum and impact. Rigid body dynamics, Plane kinematics, Plane kinetics.   Assessment: Class tests, tutorial tests and June examination 3 hours."
463,667507,EngIneering Mathematics B,"16 HEQF credits, 4 lectures per week, 1 double-period tutorial per week, offered in each semester.   Prerequisites: MAM1017F/S.   Course outline: Further calculus of a single variable. The inverse trigonometric functions. Integration by parts. Partial fractions. Areas, volumes and arc length. An introduction to modeling and differential equations. Vector algebra and geometry. Points, lines and planes. Dot products and cross products. Matrices. Systems of linear equations. Gauss reduction. Matrix algebra. Linear transformations. The matrix representing a linear map. Inverses. An introduction to complex numbers. The complex plane. Moduli and arguments, conjugates. De Moivre's theorem. Roots of polynomials. Some simple complex maps.   DP requirements: 30% For class record, high tutorial attendance.   Assessment: Examination, not longer than 3 hours in June or November: 70%, two class tests: 30%."
