Customer,State,Customer Lifetime Value,Response,Coverage,Education,,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Renew Offer Type,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
SJ95423,Arizona,"$8,819",Yes,Basic,High School or Below,11-10-01,Employed,M,"$99,845",Suburban,Married,110,23,25,1,8,Corporate Auto,Corporate L3,Offer2,Branch,$528,SUV,Medsize
IL66569,California,"$5,384",No,Basic,College,1/18/11,Employed,M,"$83,689",Urban,Single,70,21,10,2,8,Corporate Auto,Corporate L3,Offer4,Call Center,$307,Four-Door Car,Medsize
BW63560,Oregon,"$7,463",No,Basic,Bachelor,1/17/11,Employed,F,"$24,599",Rural,Married,64,12,50,1,2,Corporate Auto,Corporate L2,Offer2,Branch,$43,Four-Door Car,Medsize
FV94802,Nevada,"$2,567",No,Basic,High School or Below,11-6-02,Medical Leave,M,"$25,049",Suburban,Married,67,14,7,0,1,Personal Auto,Personal L3,Offer2,Call Center,$454,Two-Door Car,Medsize
OE15005,California,"$3,945",No,Basic,College,11-5-01,Medical Leave,M,"$28,855",Suburban,Married,101,12,59,0,1,Personal Auto,Personal L2,Offer3,Call Center,$647,SUV,Medsize
WC83389,Oregon,"$5,710",No,Basic,College,2/27/11,Employed,M,"$51,148",Urban,Married,72,9,1,0,7,Personal Auto,Personal L2,Offer2,Branch,$309,Four-Door Car,Medsize
FL50705,California,"$8,163",No,Premium,High School or Below,1/14/11,Employed,F,"$66,140",Suburban,Married,101,11,21,0,3,Corporate Auto,Corporate L2,Offer1,Call Center,$485,Four-Door Car,Small
ZK25313,Oregon,"$2,872",No,Basic,High School or Below,2/19/11,Employed,M,"$57,749",Suburban,Single,74,31,21,0,1,Personal Auto,Personal L2,Offer1,Branch,$355,Two-Door Car,Medsize
SV62436,Washington,"$3,042",No,Extended,Bachelor,1/21/11,Disabled,F,"$13,789",Suburban,Divorced,79,8,49,0,1,Personal Auto,Personal L3,Offer4,Call Center,$379,Four-Door Car,Medsize
YH23384,Arizona,"$24,128",Yes,Basic,Bachelor,1/26/11,Medical Leave,M,"$14,072",Suburban,Divorced,71,13,3,0,2,Personal Auto,Personal L3,Offer1,Agent,$511,Four-Door Car,Medsize
TZ98966,Nevada,"$2,450",No,Basic,Bachelor,2/24/11,Unemployed,F,$0,Suburban,Single,73,4,44,3,1,Corporate Auto,Corporate L3,Offer1,Branch,$554,Four-Door Car,Medsize
HM55802,California,"$2,392",No,Basic,Bachelor,11-5-02,Disabled,F,"$17,870",Suburban,Married,61,30,91,0,1,Corporate Auto,Corporate L2,Offer2,Branch,$439,Four-Door Car,Medsize
FS42516,Oregon,"$5,802",No,Basic,College,1/29/11,Employed,M,"$97,541",Suburban,Married,72,22,1,0,3,Personal Auto,Personal L3,Offer2,Call Center,$389,Four-Door Car,Large
US89481,California,"$3,946",No,Premium,Bachelor,2/28/11,Unemployed,F,$0,Suburban,Single,111,15,47,0,1,Personal Auto,Personal L3,Offer1,Agent,$799,Four-Door Car,Small
HO30839,Washington,"$5,347",No,Extended,Master,11-12-02,Disabled,F,"$10,511",Urban,Married,139,33,64,0,1,Corporate Auto,Corporate L1,Offer1,Branch,$516,SUV,Medsize
GE62437,Arizona,"$12,903",No,Premium,College,11-2-02,Employed,F,"$86,584",Suburban,Single,111,33,54,2,2,Personal Auto,Personal L3,Offer1,Call Center,$533,Four-Door Car,Large
EJ77678,Oregon,"$3,235",No,Extended,Master,11-7-02,Employed,F,"$75,690",Suburban,Married,80,17,44,1,1,Personal Auto,Personal L3,Offer2,Branch,$384,Four-Door Car,Small
SV85652,Arizona,"$2,455",No,Basic,College,2/28/11,Employed,M,"$23,158",Suburban,Married,63,4,6,1,1,Personal Auto,Personal L2,Offer4,Call Center,$322,Four-Door Car,Small
UL64533,Nevada,"$18,975",No,Extended,High School or Below,1/22/11,Employed,M,"$65,999",Urban,Married,237,1,14,0,6,Corporate Auto,Corporate L2,Offer2,Agent,$616,Luxury SUV,Medsize
PF41800,California,"$4,715",No,Basic,Bachelor,1/25/11,Unemployed,M,$0,Urban,Married,65,19,56,0,3,Personal Auto,Personal L3,Offer1,Call Center,$308,Four-Door Car,Medsize
AO98601,Washington,"$5,019",No,Basic,Bachelor,1/18/11,Employed,M,"$54,500",Suburban,Married,63,28,17,0,6,Corporate Auto,Corporate L2,Offer1,Agent,$302,Two-Door Car,Small
SK67821,Oregon,"$4,933",No,Basic,Bachelor,2/13/11,Employed,F,"$37,260",Rural,Married,62,19,42,0,8,Corporate Auto,Corporate L1,Offer3,Web,$15,Four-Door Car,Medsize
YV55495,Arizona,"$5,744",No,Basic,High School or Below,1/15/11,Employed,F,"$68,987",Urban,Married,71,11,40,0,6,Personal Auto,Personal L1,Offer1,Branch,$204,Four-Door Car,Medsize
KY38074,California,"$13,892",No,Premium,Bachelor,11-8-01,Employed,M,"$42,305",Suburban,Married,117,10,62,0,2,Personal Auto,Personal L3,Offer1,Agent,$562,Four-Door Car,Small
DM79012,Oregon,"$7,381",No,Extended,Master,11-6-02,Employed,F,"$65,706",Suburban,Married,91,19,86,0,8,Personal Auto,Personal L3,Offer2,Web,$437,Four-Door Car,Small
CM61827,Oregon,"$3,090",No,Extended,Bachelor,1/25/11,Unemployed,M,$0,Suburban,Single,90,7,79,0,1,Personal Auto,Personal L2,Offer3,Agent,$648,Two-Door Car,Small
WC35801,Arizona,"$2,522",No,Basic,High School or Below,11-7-02,Employed,M,"$53,243",Rural,Divorced,66,4,15,2,1,Personal Auto,Personal L3,Offer1,Call Center,$157,Four-Door Car,Medsize
QG25316,Nevada,"$2,652",No,Basic,High School or Below,1/18/11,Unemployed,F,$0,Suburban,Married,70,7,1,1,1,Corporate Auto,Corporate L3,Offer3,Call Center,$484,Two-Door Car,Medsize
MB98372,Oregon,"$2,771",Yes,Basic,College,11-11-01,Employed,F,"$50,071",Rural,Single,71,3,32,0,1,Corporate Auto,Corporate L3,Offer2,Agent,$19,Two-Door Car,Medsize
IL19217,California,"$3,939",Yes,Extended,Bachelor,1/28/11,Employed,F,"$60,021",Suburban,Married,99,12,28,0,1,Personal Auto,Personal L2,Offer2,Agent,$883,Four-Door Car,Small
SR38658,Arizona,"$12,232",No,Basic,High School or Below,11-8-02,Employed,M,"$43,244",Suburban,Married,103,15,16,0,2,Personal Auto,Personal L2,Offer4,Agent,$494,Sports Car,Medsize
DH41343,Washington,"$2,444",No,Basic,College,2/23/11,Employed,M,"$92,834",Suburban,Married,61,15,56,0,1,Special Auto,Special L2,Offer2,Call Center,$293,Four-Door Car,Large
HG65722,Oregon,"$12,819",No,Premium,Doctor,1/25/11,Disabled,F,"$10,105",Rural,Married,172,5,4,3,3,Personal Auto,Personal L2,Offer1,Branch,$1,SUV,Medsize
BU27331,Arizona,"$4,469",No,Basic,Bachelor,1/31/11,Unemployed,M,$0,Suburban,Single,73,7,57,3,5,Personal Auto,Personal L3,Offer3,Call Center,$579,Four-Door Car,Medsize
XM45289,Oregon,"$5,514",No,Basic,High School or Below,11-2-01,Employed,F,"$23,218",Suburban,Single,71,7,10,0,4,Personal Auto,Personal L2,Offer4,Agent,$448,Two-Door Car,Medsize
KP34198,California,"$3,344",No,Extended,Bachelor,11-7-02,Unemployed,F,$0,Suburban,Married,92,11,77,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,$530,Four-Door Car,Medsize
SH90947,Arizona,"$2,294",No,Basic,High School or Below,1/18/11,Unemployed,F,$0,Suburban,Married,62,11,56,0,1,Personal Auto,Personal L2,Offer4,Branch,$313,Four-Door Car,Medsize
WE95729,Oregon,"$36,707",No,Basic,College,1/17/11,Employed,M,"$24,804",Suburban,Married,104,1,28,0,2,Personal Auto,Personal L2,Offer1,Agent,$594,SUV,Small
PY51963,California,"$33,473",Yes,Basic,Bachelor,11-11-01,Employed,F,"$33,190",Suburban,Divorced,106,18,95,0,2,Corporate Auto,Corporate L1,Offer1,Web,$509,SUV,Medsize
RB69909,Nevada,"$7,983",No,Basic,High School or Below,2/21/11,Employed,F,"$36,014",Rural,Married,69,4,40,3,2,Special Auto,Special L1,Offer4,Branch,$174,Four-Door Car,Medsize
XR95069,Washington,"$4,855",No,Basic,Bachelor,2/16/11,Employed,M,"$29,834",Suburban,Single,64,19,44,0,3,Personal Auto,Personal L3,Offer4,Agent,$307,Four-Door Car,Medsize
FR46645,California,"$4,294",No,Premium,Bachelor,1/17/11,Disabled,M,"$16,701",Suburban,Married,113,20,26,0,1,Personal Auto,Personal L2,Offer1,Branch,$832,Four-Door Car,Small
SY17488,Arizona,"$7,164",No,Extended,College,11-5-02,Employed,F,"$46,623",Suburban,Divorced,91,1,53,0,3,Corporate Auto,Corporate L3,Offer3,Call Center,$437,Four-Door Car,Small
AP67935,California,"$7,620",No,Basic,College,2/13/11,Employed,M,"$64,749",Urban,Married,64,24,59,0,2,Special Auto,Special L2,Offer2,Branch,$303,Four-Door Car,Medsize
FS37417,Arizona,"$3,958",No,Basic,High School or Below,2/23/11,Unemployed,F,$0,Suburban,Married,101,29,12,0,1,Personal Auto,Personal L2,Offer1,Call Center,$485,SUV,Small
ML29312,Oregon,"$4,499",No,Extended,High School or Below,1/28/11,Disabled,F,"$16,969",Suburban,Divorced,124,34,47,2,1,Personal Auto,Personal L3,Offer1,Call Center,$705,SUV,Medsize
UB61619,Oregon,"$4,060",No,Premium,Master,2/28/11,Disabled,F,"$11,621",Suburban,Divorced,108,4,98,0,1,Personal Auto,Personal L1,Offer1,Agent,$518,Four-Door Car,Medsize
CD86811,Arizona,"$4,458",Yes,Basic,Bachelor,11-2-01,Retired,M,"$17,622",Suburban,Divorced,65,1,36,1,3,Personal Auto,Personal L1,Offer1,Agent,$312,Four-Door Car,Medsize
RU83859,California,"$8,110",No,Premium,Bachelor,1/22/11,Medical Leave,F,"$11,489",Suburban,Married,105,4,50,0,6,Personal Auto,Personal L3,Offer1,Call Center,$504,Two-Door Car,Small
FG63582,Oregon,"$3,340",No,Extended,Bachelor,1/15/11,Unemployed,M,$0,Suburban,Single,94,20,53,0,1,Personal Auto,Personal L3,Offer1,Agent,$863,Two-Door Car,Small
NN71951,California,"$24,261",No,Basic,High School or Below,1/27/11,Employed,F,"$66,525",Rural,Married,100,0,86,0,2,Personal Auto,Personal L3,Offer1,Agent,$104,SUV,Medsize
WB37082,Arizona,"$6,614",No,Basic,Bachelor,1/23/11,Unemployed,F,$0,Suburban,Single,63,21,28,0,2,Personal Auto,Personal L3,Offer3,Branch,$676,Four-Door Car,Large
SM52139,Washington,"$2,931",No,Basic,College,1/31/11,Employed,M,"$33,663",Suburban,Married,73,29,71,0,1,Personal Auto,Personal L3,Offer3,Web,$350,Four-Door Car,Medsize
FL82372,Oregon,"$8,672",No,Basic,College,1/26/11,Employed,F,"$22,547",Suburban,Divorced,112,7,60,0,3,Corporate Auto,Corporate L3,Offer1,Agent,$538,SUV,Medsize
DP45816,Arizona,"$11,639",No,Extended,High School or Below,11-10-01,Employed,F,"$61,486",Urban,Married,97,5,65,0,2,Personal Auto,Personal L3,Offer4,Branch,$465,Two-Door Car,Small
GW33762,Oregon,"$6,846",Yes,Extended,Bachelor,1/27/11,Unemployed,F,$0,Suburban,Divorced,95,13,20,0,5,Personal Auto,Personal L3,Offer1,Call Center,$456,Two-Door Car,Large
RZ33670,California,"$11,728",No,Premium,College,11-9-01,Disabled,F,"$29,879",Suburban,Married,102,17,0,0,2,Personal Auto,Personal L3,Offer3,Web,$500,Four-Door Car,Medsize
PY70169,Oregon,"$22,644",No,Basic,High School or Below,2/24/11,Employed,M,"$93,011",Rural,Divorced,113,17,12,0,2,Personal Auto,Personal L3,Offer4,Agent,$281,SUV,Medsize
MO91628,Oregon,"$2,614",No,Basic,Master,11-11-02,Employed,M,"$65,186",Rural,Married,65,29,27,0,1,Personal Auto,Personal L2,Offer2,Web,$5,Two-Door Car,Large
HW87852,Oregon,"$2,452",No,Basic,Master,11-12-02,Medical Leave,M,"$26,840",Suburban,Married,64,1,47,2,1,Personal Auto,Personal L1,Offer1,Agent,$307,Four-Door Car,Medsize
HB20453,Oregon,"$6,781",No,Basic,Bachelor,11-4-02,Unemployed,M,$0,Suburban,Single,104,30,3,1,5,Personal Auto,Personal L3,Offer1,Agent,$982,Sports Car,Medsize
BN87372,Oregon,"$4,975",Yes,Basic,Bachelor,1/18/11,Employed,M,"$75,644",Suburban,Divorced,65,5,68,3,9,Personal Auto,Personal L3,Offer2,Branch,$468,Two-Door Car,Medsize
YX23800,Oregon,"$8,592",No,Basic,Bachelor,11-11-02,Employed,M,"$38,984",Suburban,Married,73,27,38,0,2,Personal Auto,Personal L3,Offer2,Branch,$350,Four-Door Car,Small
DZ87709,Oregon,"$5,592",No,Basic,High School or Below,11-1-02,Employed,F,"$71,811",Rural,Single,71,17,48,0,6,Personal Auto,Personal L1,Offer2,Call Center,$29,Four-Door Car,Medsize
XW13033,Nevada,"$8,009",No,Basic,College,2/15/11,Employed,M,"$20,961",Suburban,Married,67,20,33,0,2,Personal Auto,Personal L1,Offer2,Agent,$322,Four-Door Car,Medsize
LN31673,Washington,"$11,318",No,Extended,College,11-6-02,Employed,M,"$38,923",Rural,Married,99,6,83,2,2,Personal Auto,Personal L3,Offer1,Agent,$116,Four-Door Car,Medsize
OM82309,California,"$58,167",No,Basic,Bachelor,2/27/11,Employed,M,"$61,321",Rural,Single,186,0,30,1,2,Personal Auto,Personal L3,Offer2,Branch,$428,Luxury Car,Small
ZU35962,California,"$8,025",No,Extended,College,1/26/11,Unemployed,F,$0,Rural,Single,77,20,26,0,2,Personal Auto,Personal L3,Offer3,Branch,$26,Two-Door Car,Large
VH85817,California,"$5,780",Yes,Basic,High School or Below,2/26/11,Employed,M,"$51,066",Suburban,Single,74,23,0,0,8,Personal Auto,Personal L3,Offer2,Call Center,$788,Four-Door Car,Medsize
DT85712,California,"$4,119",No,Basic,Doctor,1/27/11,Employed,M,"$34,378",Suburban,Married,102,12,54,0,1,Personal Auto,Personal L1,Offer3,Branch,$490,SUV,Medsize
YJ88573,Nevada,"$2,523",No,Basic,Master,1/16/11,Employed,M,"$43,072",Suburban,Married,63,35,15,0,1,Personal Auto,Personal L3,Offer2,Call Center,$302,Four-Door Car,Large
SQ19467,Oregon,"$6,554",No,Extended,College,1/27/11,Disabled,F,"$25,222",Suburban,Single,90,28,69,0,3,Personal Auto,Personal L3,Offer2,Agent,$476,Four-Door Car,Small
HF88410,Washington,"$7,703",No,Basic,High School or Below,2/28/11,Employed,M,"$36,765",Suburban,Married,66,15,32,1,2,Personal Auto,Personal L2,Offer1,Call Center,$321,Four-Door Car,Medsize
ET79815,California,"$5,927",Yes,Extended,College,1/25/11,Retired,M,"$23,091",Suburban,Married,96,28,90,5,5,Personal Auto,Personal L1,Offer1,Agent,$461,Four-Door Car,Medsize
QC35222,California,"$2,683",No,Basic,Bachelor,11-1-01,Employed,F,"$48,269",Urban,Married,69,3,79,3,1,Corporate Auto,Corporate L2,Offer3,Web,$282,Four-Door Car,Medsize
CJ15590,Oregon,"$2,695",No,Basic,Bachelor,11-1-02,Employed,F,"$32,720",Suburban,Divorced,67,13,12,0,1,Personal Auto,Personal L2,Offer3,Branch,$322,Four-Door Car,Medsize
OI48267,California,"$6,047",Yes,Extended,College,2/19/11,Employed,M,"$20,396",Suburban,Married,76,15,60,1,4,Personal Auto,Personal L3,Offer1,Branch,$365,Four-Door Car,Medsize
JY67916,Oregon,"$13,171",No,Premium,College,1/27/11,Medical Leave,M,"$21,513",Suburban,Married,119,21,81,1,2,Personal Auto,Personal L3,Offer2,Branch,$680,Two-Door Car,Small
OE75231,Washington,"$10,657",Yes,Extended,Bachelor,2/27/11,Employed,F,"$72,540",Suburban,Married,88,7,3,0,2,Corporate Auto,Corporate L3,Offer2,Call Center,$632,Two-Door Car,Medsize
CZ33664,Oregon,"$2,528",No,Basic,Bachelor,1/17/11,Employed,F,"$80,744",Rural,Married,63,24,84,0,1,Corporate Auto,Corporate L3,Offer1,Agent,$12,Four-Door Car,Medsize
WK30175,Oregon,"$2,672",No,Basic,Bachelor,11-10-02,Employed,M,"$52,822",Suburban,Married,67,23,88,0,1,Corporate Auto,Corporate L1,Offer1,Branch,$351,Two-Door Car,Small
ON44465,California,"$5,313",No,Extended,High School or Below,1/24/11,Unemployed,F,$0,Suburban,Single,77,8,10,1,9,Personal Auto,Personal L2,Offer1,Agent,$863,Four-Door Car,Medsize
TV87155,Oregon,"$20,946",No,Basic,Bachelor,2/24/11,Employed,F,"$69,738",Suburban,Married,74,2,26,1,2,Personal Auto,Personal L3,Offer1,Branch,$492,Four-Door Car,Large
KH48895,Arizona,"$8,375",No,Basic,Master,2/15/11,Medical Leave,F,"$17,780",Rural,Married,109,12,18,0,9,Personal Auto,Personal L3,Offer1,Branch,$133,SUV,Medsize
NZ30757,California,"$4,802",No,Basic,Bachelor,2/16/11,Medical Leave,M,"$18,107",Suburban,Married,62,29,11,0,8,Personal Auto,Personal L2,Offer1,Agent,$298,Four-Door Car,Medsize
RI22468,Arizona,"$5,746",No,Basic,Bachelor,1/22/11,Employed,F,"$57,740",Urban,Married,74,30,87,3,9,Personal Auto,Personal L1,Offer3,Web,$270,Four-Door Car,Medsize
FZ30935,Oregon,"$6,066",No,Extended,College,2/25/11,Employed,M,"$32,627",Suburban,Married,76,11,60,0,7,Personal Auto,Personal L2,Offer1,Agent,$380,Two-Door Car,Small
UG93476,California,"$8,002",Yes,Basic,College,11-11-01,Unemployed,F,$0,Suburban,Married,107,3,65,0,3,Personal Auto,Personal L3,Offer1,Agent,$514,SUV,Medsize
AB96670,California,"$2,394",Yes,Basic,College,1/31/11,Unemployed,M,$0,Suburban,Single,70,24,10,0,1,Personal Auto,Personal L1,Offer1,Branch,$425,Four-Door Car,Medsize
XK64261,Oregon,"$4,763",No,Basic,Bachelor,11-12-01,Employed,M,"$65,795",Rural,Single,62,2,85,1,3,Corporate Auto,Corporate L3,Offer3,Call Center,$49,Two-Door Car,Medsize
EV68375,California,"$4,330",Yes,Premium,College,2/16/11,Employed,M,"$60,475",Suburban,Married,107,9,18,0,1,Personal Auto,Personal L3,Offer2,Branch,$514,Four-Door Car,Medsize
UN51653,California,"$9,403",No,Extended,High School or Below,11-9-02,Unemployed,F,$0,Suburban,Single,130,28,88,0,4,Personal Auto,Personal L3,Offer1,Web,$936,SUV,Medsize
TO96662,Oregon,"$6,967",No,Extended,Bachelor,1/19/11,Employed,F,"$41,837",Rural,Married,88,29,93,0,9,Personal Auto,Personal L3,Offer1,Call Center,$142,Four-Door Car,Small
MR52087,California,"$7,694",No,Basic,Bachelor,11-4-01,Employed,F,"$32,303",Rural,Married,65,13,34,0,2,Personal Auto,Personal L1,Offer3,Branch,$45,Four-Door Car,Medsize
DE75225,Oregon,"$8,718",No,Basic,High School or Below,11-9-01,Unemployed,M,$0,Suburban,Married,117,5,89,1,3,Personal Auto,Personal L1,Offer1,Agent,$562,SUV,Medsize
EP80820,California,"$5,929",No,Basic,Bachelor,1/27/11,Employed,F,"$40,531",Rural,Married,74,17,32,0,9,Personal Auto,Personal L3,Offer1,Agent,$31,Two-Door Car,Medsize
GU99037,Oregon,"$2,453",No,Basic,College,2/14/11,Employed,M,"$79,898",Urban,Married,62,5,86,1,1,Corporate Auto,Corporate L1,Offer4,Agent,$272,Four-Door Car,Medsize
WI57118,California,"$6,702",No,Extended,College,2/27/11,Employed,M,"$56,398",Suburban,Married,85,4,18,0,7,Personal Auto,Personal L3,Offer4,Agent,$408,Four-Door Car,Small
YQ74870,Washington,"$7,556",No,Extended,High School or Below,11-12-02,Employed,M,"$35,257",Suburban,Divorced,98,16,2,1,8,Corporate Auto,Corporate L2,Offer2,Web,$470,Four-Door Car,Small
MQ14219,Arizona,"$8,493",No,Basic,College,2/26/11,Employed,M,"$27,804",Suburban,Married,109,19,54,0,7,Personal Auto,Personal L3,Offer2,Branch,$785,SUV,Medsize
KN20603,Oregon,"$7,713",No,Basic,Bachelor,2/20/11,Employed,M,"$45,506",Suburban,Single,66,16,32,2,2,Personal Auto,Personal L3,Offer1,Agent,$317,Four-Door Car,Medsize
CR48975,Washington,"$24,085",No,Basic,High School or Below,11-2-02,Employed,M,"$65,196",Suburban,Married,67,0,54,0,2,Personal Auto,Personal L2,Offer4,Branch,$396,Four-Door Car,Medsize
JI70886,California,"$7,290",No,Basic,High School or Below,2/15/11,Unemployed,M,$0,Suburban,Married,102,11,70,1,3,Corporate Auto,Corporate L2,Offer1,Agent,$490,SUV,Medsize
VF72557,Oregon,"$4,773",Yes,Extended,High School or Below,2/18/11,Retired,M,"$20,993",Suburban,Divorced,133,35,90,0,1,Personal Auto,Personal L3,Offer2,Agent,$638,SUV,Medsize
OX28638,Arizona,"$6,806",No,Extended,High School or Below,1/21/11,Employed,M,"$37,839",Suburban,Married,86,35,77,0,9,Personal Auto,Personal L3,Offer2,Branch,$466,Two-Door Car,Medsize
SK55033,California,"$2,470",No,Basic,Bachelor,1/15/11,Employed,F,"$92,711",Suburban,Single,62,24,10,0,1,Personal Auto,Personal L2,Offer3,Agent,$368,Two-Door Car,Medsize
OO88645,California,"$3,104",No,Extended,College,11-5-02,Employed,F,"$74,665",Urban,Married,78,10,90,2,1,Corporate Auto,Corporate L2,Offer2,Call Center,$237,Four-Door Car,Medsize
YT36855,Washington,"$2,982",No,Extended,College,2/24/11,Unemployed,M,$0,Suburban,Married,83,26,89,0,1,Personal Auto,Personal L2,Offer3,Web,$583,Two-Door Car,Medsize
CW82151,California,"$8,903",No,Basic,Bachelor,11-5-01,Employed,M,"$46,833",Rural,Married,112,6,3,0,9,Personal Auto,Personal L3,Offer1,Call Center,$64,Sports Car,Medsize
DY22043,Oregon,"$5,499",No,Basic,High School or Below,1/28/11,Employed,F,"$88,768",Suburban,Married,68,17,77,0,7,Personal Auto,Personal L3,Offer3,Branch,$326,Two-Door Car,Small
SH36774,California,"$15,024",No,Basic,High School or Below,11-12-01,Employed,M,"$28,262",Suburban,Single,192,9,77,0,3,Personal Auto,Personal L3,Offer3,Web,$922,Luxury SUV,Medsize
EM43724,Nevada,"$2,509",No,Basic,Bachelor,2/16/11,Employed,F,"$33,555",Rural,Married,63,17,11,0,1,Personal Auto,Personal L3,Offer1,Agent,$102,Four-Door Car,Medsize
FH85960,Oregon,"$31,222",No,Premium,College,11-3-01,Employed,M,"$42,780",Suburban,Divorced,113,10,27,1,2,Personal Auto,Personal L2,Offer1,Call Center,$542,Four-Door Car,Medsize
XA55993,Oregon,"$3,134",No,Extended,Master,11-7-02,Employed,F,"$58,850",Rural,Single,78,20,26,0,1,Personal Auto,Personal L3,Offer2,Branch,$144,Four-Door Car,Medsize
GO36627,Arizona,"$3,837",No,Extended,College,1/13/11,Employed,M,"$21,880",Urban,Married,97,29,37,0,1,Special Auto,Special L2,Offer1,Branch,$424,Four-Door Car,Medsize
QH48047,Oregon,"$11,790",Yes,Basic,College,11-3-01,Retired,M,"$25,251",Suburban,Divorced,66,13,43,0,2,Personal Auto,Personal L2,Offer2,Web,$317,Four-Door Car,Medsize
RB50392,Washington,"$7,838",No,Basic,Master,2/17/11,Unemployed,F,$0,Rural,Married,69,9,12,0,2,Personal Auto,Personal L1,Offer2,Agent,$3,Four-Door Car,Medsize
UH65059,Arizona,"$4,306",No,Basic,High School or Below,1/21/11,Employed,M,"$24,188",Suburban,Married,109,14,82,0,1,Personal Auto,Personal L3,Offer1,Agent,$523,Sports Car,Medsize
FV21968,Nevada,"$5,974",No,Basic,Bachelor,1/26/11,Employed,F,"$41,611",Rural,Married,74,14,8,0,8,Special Auto,Special L2,Offer1,Branch,$114,Four-Door Car,Medsize
QA87025,Oregon,"$5,670",No,Basic,Bachelor,1/31/11,Employed,F,"$28,406",Urban,Married,72,16,35,1,4,Personal Auto,Personal L3,Offer1,Call Center,$193,Four-Door Car,Medsize
TQ13499,Arizona,"$4,732",No,Premium,College,11-2-01,Employed,M,"$69,833",Suburban,Married,118,32,99,0,1,Personal Auto,Personal L3,Offer1,Agent,$829,Four-Door Car,Small
BU44523,Arizona,"$8,026",No,Basic,High School or Below,11-7-02,Unemployed,F,$0,Suburban,Single,74,15,91,0,2,Corporate Auto,Corporate L2,Offer1,Web,$533,Four-Door Car,Small
MS41162,Arizona,"$4,023",No,Basic,High School or Below,1/26/11,Unemployed,M,$0,Suburban,Single,117,6,1,0,1,Personal Auto,Personal L3,Offer1,Agent,$975,SUV,Medsize
PU25891,Oregon,"$9,618",No,Basic,High School or Below,11-11-01,Employed,F,"$80,536",Rural,Married,119,5,83,0,3,Special Auto,Special L2,Offer1,Branch,$54,Sports Car,Medsize
